epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.384,1.26007,3.15882,1.3382,0.01088,0.93233,0.2692,0.19236,0.57806,3.06248,0.94464,0.00012,0.00012,0.00012
2,45.1858,0.71885,1.98204,0.99432,0.87031,0.30277,0.51592,0.40135,0.66122,2.47122,0.93433,0.000254852,0.000254852,0.000254852
3,66.6084,0.81565,1.30487,1.05696,0.87576,0.53002,0.66201,0.50866,0.69308,2.26104,0.94567,0.00038416,0.00038416,0.00038416
4,87.7576,0.75305,1.13544,1.00852,0.93706,0.33585,0.65,0.52053,0.59695,2.4243,0.92543,0.000507924,0.000507924,0.000507924
5,109.043,0.75406,1.0097,1.00991,0.92298,0.63072,0.82784,0.66821,0.63104,1.97895,0.8943,0.000626144,0.000626144,0.000626144
6,128.777,0.7429,0.99622,0.98643,0.87306,0.70677,0.83126,0.6667,0.60185,1.76237,0.89836,0.00073882,0.00073882,0.00073882
7,148.368,0.69551,0.89602,0.95107,0.57164,0.67228,0.536,0.37347,0.69852,2.01308,1.04017,0.000845952,0.000845952,0.000845952
8,167.636,0.69563,0.86381,0.95669,0.70269,0.75188,0.77895,0.61584,0.67239,1.4373,0.98895,0.00094754,0.00094754,0.00094754
9,186.791,0.68832,0.86187,0.97965,0.82348,0.77169,0.82337,0.65067,0.60836,1.57678,0.9532,0.00104358,0.00104358,0.00104358
10,205.542,0.66637,0.82251,0.95612,0.67059,0.68421,0.71092,0.54841,0.58772,1.82383,0.92661,0.00113408,0.00113408,0.00113408
11,224.928,0.6989,0.80201,0.98519,0.71455,0.6964,0.73544,0.5677,0.62002,1.69919,0.95307,0.00121904,0.00121904,0.00121904
12,244.222,0.67531,0.80943,0.97123,0.48903,0.62607,0.5103,0.31443,0.70434,2.01089,1.00988,0.00129845,0.00129845,0.00129845
13,263.69,0.68118,0.85683,0.97036,0.52129,0.63864,0.55074,0.39738,0.66484,1.98785,0.99138,0.00137232,0.00137232,0.00137232
14,283.507,0.66612,0.7981,0.9736,0.73103,0.71525,0.78271,0.63268,0.63923,1.66626,0.97097,0.00144064,0.00144064,0.00144064
15,303.584,0.66676,0.74815,0.93698,0.8729,0.78195,0.86821,0.73546,0.58524,1.32663,0.95222,0.0014456,0.0014456,0.0014456
16,322.718,0.6088,0.76866,0.95314,0.88231,0.78911,0.87446,0.71814,0.616,1.21334,0.95777,0.001406,0.001406,0.001406
17,341.512,0.66165,0.75849,0.97847,0.87761,0.80873,0.88496,0.73776,0.57716,1.10088,0.93868,0.0013664,0.0013664,0.0013664
18,360.308,0.5982,0.66311,0.92982,0.91002,0.83645,0.92171,0.73445,0.57916,0.90842,0.92207,0.0013268,0.0013268,0.0013268
19,379.309,0.65786,0.72906,0.95124,0.90669,0.80363,0.883,0.70963,0.78555,1.31038,1.03525,0.0012872,0.0012872,0.0012872
20,398.447,0.7056,0.71197,0.98525,0.9065,0.87472,0.92134,0.78696,0.52491,0.88848,0.91012,0.0012476,0.0012476,0.0012476
21,417.217,0.60591,0.68845,0.92899,0.92878,0.88248,0.92899,0.79976,0.49988,0.83958,0.91273,0.001208,0.001208,0.001208
